Name,Author,Fiction / non-fiction,Primary Genre
Book Lovers,Emily Henry,Fiction,Romance
It ends with us,Colleen Hoover,Fiction,Romance
Ugly Love,Colleen Hoover,Fiction,Romance
It Starts With Us,Colleen Hoover,Fiction,Romance
Twisted Love,Ana Huang,Fiction,Romance
King of Wrath,Ana Huang,Fiction,Romance
Twisted Games,Ana Huang,Fiction,Romance
You me everything,Catherine Isaac,Fiction,Romance
Just For the Summer,Abby Jimenez,Fiction,Romance
Never Greener,Ruth Jones,Fiction,Romance
Summer at Sandcastle Cottage,Christina Jones,Fiction,Romance
Collide,Bal Khabra,Fiction,Romance
How to End a Love Story,Yulin Kuang,Fiction,Romance
My own worst enemy,Lily Lindon,Fiction,Romance
Somewhere in the Crowd,Katrina Logan,Fiction,Romance
It's Not Me It's You,Mhairi Mcfarlane,Fiction,Romance
Nora Goes Off Script,Annabel Monaghan,Fiction,Romance
Same Time Next Summer,Annabel Monaghan,Fiction,Romance
Still me ,Jojo Moyes,Fiction,Romance
If Only I Had Told Her,Laura Nowlin,Fiction,Romance
The No-Show,Beth Oleary,Fiction,Romance
The Wake-Up Call,Beth Oleary,Fiction,Romance
The Road Trip,Beth Oleary,Fiction,Romance
Swept Away,Beth Oleary,Fiction,Romance
The Devil and the Deep Blue Sea,Elizabeth Oroark,Fiction,Romance
Asking for a Friend,Andi Osho,Fiction,Romance
First Down,Grace Reilly,Fiction,Romance
Stealing Home,Grace Reilly,Fiction,Romance
Breakaway,Grace Reilly,Fiction,Romance
Wicked Serve,Grace Reilly,Fiction,Romance
The One That Got Away,Charlotte Rixon,Fiction,Romance
Things We Never Got Over,Lucy Score,Fiction,Romance
Things We Hide From the Light,Lucy Score,Fiction,Romance
My Dark Romeo,Parker S. Huntington And L.J. Shen,Fiction,Romance
Archer's Voice,Mia Sheridan,Fiction,Romance
Flawless,Elsie Silver,Fiction,Romance
Reckless,Elsie Silver,Fiction,Romance
Heartless,Elsie Silver,Fiction,Romance
Hopeless,Elsie Silver,Fiction,Romance
Powerless,Elsie Silver,Fiction,Romance
The Hundred Loves of Juliet,Evelyn Skye,Fiction,Romance
Cross the Line,Simone Soltani,Fiction,Romance
The Hating Game,Sally Thorne,Fiction,Romance
Binding 13,Chloe Walsh,Fiction,Romance
Saving 6,Chloe Walsh,Fiction,Romance
Butcher & Blackbird,Brynne Weaver,Fiction,Romance
From Lukov With Love,Mariana Zapata,Fiction,Romance
The Handmaid's Tale,Margaret Atwood,Fiction,Classic Fiction
Wuthering Heights,Emily Bronte,Fiction,Classic Fiction
Wuthering Heights,Emily Bronte,Fiction,Classic Fiction
Wuthering Heights,Emily Bronte,Fiction,Classic Fiction
Alices adventures in wonderland,Lewis Carroll,Fiction,Classic Fiction
Poirot in the orient omnibus,Agatha Christie,Fiction,Classic Fiction
Mrs. Harris Goes to Paris,Paul Gallico,Fiction,Classic Fiction
The Wind in The Willows,Kenneth Grahame,Fiction,Classic Fiction
The phantom of the opera,Gaston Leroux,Fiction,Classic Fiction
The railway children,Edith Nesbit,Fiction,Classic Fiction
1984,George Orwell,Fiction,Classic Fiction
An Inspector Calls,J. B. Priestley,Fiction,Classic Fiction
The Little Prince,Antoine De Saint-Exupery,Fiction,Classic Fiction
Bloomsbury 35,Various Authors,Fiction,Literary Essays
The Peace of Wild Things,Wendell Berry,Fiction,Poetry
Tomorrow is Beautiful,Sarah Crossan,Fiction,Poetry
Thoughts Beneath the Scars,Adriana M. Giovanni,Fiction,Poetry
the sun and her flowers,Rupi Kaur,Fiction,Poetry
milk and honey,Rupi Kaur,Fiction,Poetry
"Starry Night, Blurry Dreams",Henn Kim,Fiction,Poetry
Falling Awake,Alice Oswald,Fiction,Poetry
I Wandered Lonely as a Cloud,Ana Sampson,Fiction,Poetry
The Sonnets and A Lover's Complaint,William Shakespeare,Fiction,Poetry
Ninth House,Leigh Bardugo,Fiction,Fantasy
Shanghai Immortal ,A. Y. Chao,Fiction,Fantasy
Jonathan Strange & Mr Norrell,Susanna Clarke,Fiction,Fantasy
The Binding,Bridget Collins,Fiction,Fantasy
The Silence Factory,Bridget Collins,Fiction,Fantasy
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Fiction,Fantasy
Once Upon a Broken Heart,Stephanie Garber,Fiction,Fantasy
The Ballad of Never After,Stephanie Garber,Fiction,Fantasy
A Curse For True Love,Stephanie Garber,Fiction,Fantasy
A Dowry of Blood,S.T. Gibson,Fiction,Fantasy
One Dark Window,Rachel Gillig,Fiction,Fantasy
Two Twisted Crowns,Rachel Gillig,Fiction,Fantasy
Belladonna,Adalyn Grace,Fiction,Fantasy
Foxglove,Adalyn Grace,Fiction,Fantasy
The Hurricane Wars,Thea Guanzon,Fiction,Fantasy
A Discovery of Witches,Deborah Harkness,Fiction,Fantasy
Quicksilver,Callie Hart,Fiction,Fantasy
A Witch's Guide to Fake Dating a Demon,Sarah Hawley,Fiction,Fantasy
Alice,Christina Henry,Fiction,Fantasy
The Raven Scholar,Antonia Hodgson,Fiction,Fantasy
A Fate Inked in Blood,Danielle L. Jensen,Fiction,Fantasy
Glow,Raven Kennedy,Fiction,Fantasy
Gleam,Raven Kennedy,Fiction,Fantasy
Glint,Raven Kennedy,Fiction,Fantasy
Gild,Raven Kennedy,Fiction,Fantasy
Fairy Tale,Stephen King,Fiction,Fantasy
The Irresistible Urge to Fall For Your Enemy,Brigitte Knightley,Fiction,Fantasy
A Dance With the Fae Prince,Elise Kova,Fiction,Fantasy
Arcana Academy,Elise Kova,Fiction,Fantasy
Babel,R. F. Kuang,Fiction,Fantasy
The Dragon Republic,R. F. Kuang,Fiction,Fantasy
The Poppy War,R. F. Kuang,Fiction,Fantasy
The Book that Wouldn't Burn,Mark Lawrence,Fiction,Fantasy
Perilous Times,Thomas D Lee,Fiction,Fantasy
Kingdom of Ash,Sarah J. Maas,Fiction,Fantasy
Tower of Dawn,Sarah J. Maas,Fiction,Fantasy
Empire of Storms,Sarah J. Maas,Fiction,Fantasy
Queen of Shadows,Sarah J. Maas,Fiction,Fantasy
Heir of Fire,Sarah J. Maas,Fiction,Fantasy
Crown of Midnight,Sarah J. Maas,Fiction,Fantasy
Throne of Glass,Sarah J. Maas,Fiction,Fantasy
The Assassin's Blade,Sarah J. Maas,Fiction,Fantasy
House of Sky and Breath,Sarah J. Maas,Fiction,Fantasy
Throne of Glass,Sarah J. Maas,Fiction,Fantasy
Tower of Dawn,Sarah J. Maas,Fiction,Fantasy
Kingdom of Ash,Sarah J. Maas,Fiction,Fantasy
Crown of Midnight,Sarah J. Maas,Fiction,Fantasy
Heir Of Fire,Sarah J. Maas,Fiction,Fantasy
Throne of Glass,Sarah J. Maas,Fiction,Fantasy
A court of Thorns and Roses,Sarah J. Maas,Fiction,Fantasy
A court of mist and fury,Sarah J. Maas,Fiction,Fantasy
A Court of Wings and ruin,Sarah J. Maas,Fiction,Fantasy
A court of thorns and Roses -  Collectors edition,Sarah J. Maas,Fiction,Fantasy
The Assassins blade,Sarah J. Maas,Fiction,Fantasy
House of Earth and Blood,Sarah J. Maas,Fiction,Fantasy
House of Sky and Breath,Sarah J. Maas,Fiction,Fantasy
House of Sky and Breath,Sarah J. Maas,Fiction,Fantasy
A Court of Silver Flames,Sarah J. Maas,Fiction,Fantasy
A Court of Frost and Starlight,Sarah J. Maas,Fiction,Fantasy
House of Flame and Shadow,Sarah J. Maas,Fiction,Fantasy
A Game of Thrones,George R.R Martin,Fiction,Fantasy
A Dance with dragons 1: Dreams and Dust,George R.R Martin,Fiction,Fantasy
A Feast For Crows,George R.R Martin,Fiction,Fantasy
A Storm of Sword 2: Blood and Gold,George R.R Martin,Fiction,Fantasy
A Dance With Dragons 2: After the Feast,George R.R Martin,Fiction,Fantasy
A Storm of Swords 1: Steel and Snow,George R.R Martin,Fiction,Fantasy
A Knight of the Seven Kingdoms,George R.R Martin,Fiction,Fantasy
Ordinary Monsters,J.M. Miro,Fiction,Fantasy
The Book of Azrael,Amber V. Nicole,Fiction,Fantasy
The Stars are Dying,Chloe C. Penaranda,Fiction,Fantasy
The Colour of Magic,Terry Pratchett,Fiction,Fantasy
A Study in Drowning,Ava Reid,Fiction,Fantasy
Powerless,Lauren Roberts,Fiction,Fantasy
Divine Rivals,Rebecca Ross,Fiction,Fantasy
The Wise Man's Fear,Patrick Rothfuss,Fiction,Fantasy
The Slow Regard of Silent Things,Patrick Rothfuss,Fiction,Fantasy
The Narrow Road Between Desires,Patrick Rothfuss,Fiction,Fantasy
The Way of Kings,Brandon Sanderson,Fiction,Fantasy
Words of Radiance Part 2,Brandon Sanderson,Fiction,Fantasy
Words of Radiance Part 1,Brandon Sanderson,Fiction,Fantasy
Tress of the Emerald Sea,Brandon Sanderson,Fiction,Fantasy
The Well of Ascension,Brandon Sanderson,Fiction,Fantasy
The Alloy of Law,Brandon Sanderson,Fiction,Fantasy
Shadows of Self,Brandon Sanderson,Fiction,Fantasy
The Bands of Mourning,Brandon Sanderson,Fiction,Fantasy
The Lost Metal,Brandon Sanderson,Fiction,Fantasy
The Hero of Ages,Brandon Sanderson,Fiction,Fantasy
Oathbringer Part Two,Brandon Sanderson,Fiction,Fantasy
Oathbringer Part One,Brandon Sanderson,Fiction,Fantasy
Rhythm of War Part One,Brandon Sanderson,Fiction,Fantasy
Rhythm of War Part Two,Brandon Sanderson,Fiction,Fantasy
Steelheart,Brandon Sanderson,Fiction,Fantasy
Firefight,Brandon Sanderson,Fiction,Fantasy
Calamity,Brandon Sanderson,Fiction,Fantasy
Mitosis,Brandon Sanderson,Fiction,Fantasy
Skyward,Brandon Sanderson,Fiction,Fantasy
Starsight,Brandon Sanderson,Fiction,Fantasy
Skyward Flight,Brandon Sanderson,Fiction,Fantasy
Cytonic,Brandon Sanderson,Fiction,Fantasy
Defiant,Brandon Sanderson,Fiction,Fantasy
The Witcher: The Last Wish,Andrzej Sapkowski,Fiction,Fantasy
The Witcher: Sword of Destiny,Andrzej Sapkowski,Fiction,Fantasy
The Invisible Life of Addie LaRue,V. E. Schwab,Fiction,Fantasy
A Darker Shade of Magic,V. E. Schwab,Fiction,Fantasy
A Gathering of Shadows,V. E. Schwab,Fiction,Fantasy
A Day of Fallen Night,Samantha Shannon,Fiction,Fantasy
A Day of Fallen Night,Samantha Shannon,Fiction,Fantasy
The Priory of the Orange Tree,Samantha Shannon,Fiction,Fantasy
Phantasma,Kaylie Smith,Fiction,Fantasy
Trial of the Sun Queen,Nisha J. Tuli,Fiction,Fantasy
