Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
Love is a Revolution,Renee Watson,2021,9781526616821,Bloomsbury,Bloomsbury YA,Paperback,Children's & Teenage,"Children's & Teenage, Romance",Fiction,na,na,£7.99,289,,0,0,1,
One by One,Ruth Ware,2021,9781784708085,Penguin Random House,Vintage,Paperback,Crime & Mystery,"Crime & Mystery, Thriller ",Fiction,na,na,£7.99,376,,0,0,1,
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,9781529110685,Penguin Random House,Vintage,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,242,,1,0,1,
A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,na,Hardback,Fantasy,Fantasy,Fiction,Roots of Chaos,2,£18.99,868,,0,0,2,
Metronome,Tom Watson,2022,9781526639547,Bloomsbury,na,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,307,,1,1,1,
Ariadne,Jennifer Saint,2021,9781472280893,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,na,na,na,389,,0,0,1,
Meet Me at the Lake,Carley Fortune,2023,9780349433110,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,na,na,£9.99,320,,1,0,1,
The Way of Kings,Brandon Sanderson,2015,9781473211513,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,1,£14.99,1124,,0,0,1,
Things We Never Got Over,Lucy Score,2022,9781399713740,Hachette,Hodder and stoughton,Paperback,Romance,Contemporary Romance,Fiction,Knockemout ,1,£8.99,490,,1,0,1,
What If?,Randall Munroe,2015,9781848549562,Hachette,John Murray ,Paperback ,Popular Science,Popular Science,Non-fiction,What If,1,£8.99,304,,0,0,1,
1984,George Orwell,2019,9789352230761,Maple Press,na,Paperback,Classic Fiction,classic fiction,Fiction,na,na,na,238,,1,1,1,
Somewhere in the Crowd,Katrina Logan,2023,9781399718905,Hachette,Hodder and stoughton,Paperback,Romance,"Contemporary Romance, Music",Fiction,na,na,£9.99,291,,0,0,1,
Memphis,Tara M. Stringfellow,2023,9781529339253,Hachette,John Murray ,Paperback ,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£9.99,252,,0,0,1,
A Witch's Guide to Fake Dating a Demon,Sarah Hawley,2023,9781399608893,Hachette,Orion,Paperback,Fantasy,Fantasy Romance ,Fiction,na,na,£8.99,389,,0,0,1,
Words of Radiance Part 2,Brandon Sanderson,2015,9780575093324,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.2,£10.99,564,,0,0,1,
Words of Radiance Part 1,Brandon Sanderson,2015,9780575093317,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.1,£10.99,653,,0,0,1,
Death of a Bookseller,Alice Slater,2023,9781399709392,Hachette,Hodder and stoughton,Proof,Crime & Mystery,"Crime & Mystery, Thriller",Fiction,na,na,na,374,,0,0,1,
The Beasts of Paris,Steff Penney,2023,9781529428780,Hachette,Quercus,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,483,,0,0,1,
She is a Haunting,Trang Thanh Tran,2023,9781547610815,Bloomsbury,Bloomsbury YA,Proof,Young Adult,"Children's & Teenage, Horror & Ghost Stories",Fiction,na,na,na,336,,0,0,1,
The Lies We Tell,Katie Zhao,2022,9781526654854,Bloomsbury,Bloomsbury YA,Paperback,Young Adult,"Children's & Teenage, Thrillers",Fiction,na,na,£7.99,287,,1,0,1,
