Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
The Paris Apartment,Lucy Foley,2022,9780008385071,Harper Collins,Harper Collins,Paperback,Crime & Mystery,Crime & Mystery,Fiction,na,na,£8.99,410,,1,0,1,
Small Hours,Bobby Palmer,2024,9781035413805,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,424,,1,0,1,
Two Twisted Crowns,Rachel Gillig,2023,9780356519500,Hachette,"Little, Brown",Paperback,Fantasy,"Fantasy, Gothic",Fiction,The Shepherd King,2,£9.99,430,,1,1,1,
Why Did You Stay?,Rebecca Humphries,2023,9780751584813,Hachette,"Little, Brown",Paperback,Sociology,Family & Relationships,Non-Fiction,na,na,£9.99,403,,0,0,1,
The Marriage Portrait,Maggie O'Farrell,2022,9781472223845,Hachette,Headline,Hardback,Historical Fiction,Historical Fiction,Fiction,na,na,£25.00,438,,0,0,1,
Love Letters to a Serial Killer,Tasha Coryell,2024,9781398716735,Hachette,Orion,Proof,Crime & Mystery,Crime & Mystery,Fiction,na,na,na,453,,0,0,1,
From Lukov With Love,Mariana Zapata,2022,9781035402823,Hachette,Headline,Paperback,Romance,Romance,Fiction,na,na,£9.99,485,,1,0,1,
Magnolia Parks,Jessa Hastings,2023,9781398716902,Hachette,Orion,Paperback,Romance,Romance,Fiction,Magnolia Parks,1,£8.99,433,,1,0,3,
Cleaner,Brandi Wells,2023,9781472299550,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,325,,0,0,1,
Heartstopper 2,Alice Oseman,2019,9781444951400,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult,Fiction,Heartstopper,2,£12.99,558,,0,0,1,
The Great Experiment,Yascha Mounk,2022,9781526630148,Bloomsbury,Bloomsbury,Proof,Sociology,Sociology,Non-Fiction,na,na,na,353,,0,0,1,
A Haunting on the Hill,Elizabeth Hand,2023,9781408731321,Hachette,"Little, Brown",Proof,Crime & Mystery,Crime & Mystery,Fiction,na,na,na,322,,0,0,1,
48 Clues into the Disappearance of My Sister,Joyce Carol Oates,2023,9781837932771,Bloomsbury,Head of Zeus,Hardback,Crime & Mystery,Crime & Mystery,Fiction,na,na,£20.00,297,,0,0,1,
Trial of the Sun Queen,Nisha J. Tuli,2023,9780356523378,Hachette,"Little, Brown",Paperback,Fantasy,"Fantasy, Romance",Fiction,Artefacts of Ouranos,1,£9.99,386,,0,0,1,
Legacy of Ash,Matthew Ward,2020,9780356513379,Hachette,"Little, Brown",Paperback,Fantasy,Fantasy,Fiction,The Legacy,1,£9.99,768,,0,0,1,
Too Late,Colleen Hoover,2023,9781408729465,Hachette,"Little, Brown",Paperback,Crime & Mystery,Crime & Mystery,Fiction,na,na,£9.99,383,,0,0,1,
How to Train Your Dragon,Cressida Cowell,2017,9780340999073,Hachette,Hachette Childrens,Paperback,Children's & Teenage,Children's & Teenage,Fiction,How to Train Your Dragon,1,£7.99,227,,0,0,1,
A Court of Silver Flames,Sarah J. Maas,2022,9781526635365,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy, Romance",Fiction,A Court of Thorns and Roses,5,£9.99,757,,1,1,1,
A Court of Frost and Starlight,Sarah J. Maas,2020,9781526617187,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy, Romance",Fiction,A Court of Thorns and Roses,4,£7.99,233,,1,1,1,
First Down,Grace Reilly,2023,9781035412815,Hachette,Headline,Paperback,Romance,Romance,Fiction,Beyond the Play,1,£9.99,293,,1,0,1,
A Brief History of Black Holes,Dr Becky Smethurst,2023,9781529086744,Pan Macmillan,Pan Books,Paperback,Popular Science,"Popular Science, Cosmology",Non-Fiction,na,na,£10.99,279,,0,0,1,
Calling Bullshit,Carl T. Bergstrom & Jevin D. West,2021,9780141987057,Penguin Random House,Penguin Books,Paperback,Popular Science,"Popular Science, Mathematics, Data Analysis",Non-Fiction,na,na,£10.99,318,,0,0,1,
Piranesi,Susanna Clarke,2021,9781526622433,Bloomsbury,Bloomsbury,Paperback,Modern & Contemporary Fiction,"Modern and contempary fiction, fantasy",Fiction,na,na,£8.99,245,,1,0,1,
A Curse For True Love,Stephanie Garber,2023,9781529399295,Hachette,Hodder and stoughton,Trade Paperback,Fantasy,"Fantasy, Romance",Fiction,Once Upon a Broken Heart,3,£14.99,385,,1,0,1,
Divine Rivals,Rebecca Ross,2023,9780008600662,Harper Collins,Magpie Books,Trade Paperback,Fantasy,"Fantasy, Romance, Young Adult",Fiction,Letters of Enchantment ,1,£13.99,357,,1,0,1,
Daisy Haites,Jessa Hastings,2023,9781398716933,Hachette,Orion,Paperback,Romance,Romance,Fiction,Magnolia Parks,2,£8.99,499,,1,0,3,
Foxglove,Adalyn Grace,2023,9781399705158,Hachette,Hodder and stoughton,Trade Paperback,Fantasy,"Fantasy, Gothic",Fiction,Belladonna,2,£14.99,454,,0,0,1,
The Unmaking of June Farrow,Adrienne Young,2023,9781529433616,Hachette,Quercus,Hardback,Fantasy,Fantasy,Fiction,na,na,£18.99,315,,0,0,1,
The Alloy of Law,Brandon Sanderson,2012,9780575105836,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,4,£9.99,332,,0,1,1,
Shadows of Self,Brandon Sanderson,2015,9781473208230,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,5,£9.99,383,,0,1,1,
The Bands of Mourning,Brandon Sanderson,2016,9781473208278,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,6,£9.99,447,,0,1,1,
The Lost Metal,Brandon Sanderson,2022,9781473215283,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,7,£10.99,507,,0,1,1,
Iron Flame,Rebecca Yarros,2023,9780349437033,Hachette,"Little, Brown",Trade Paperback,Fantasy,"Fantasy, Romance",Fiction,The Empyrean ,2,£16.99,623,,1,0,2,
Iron Flame,Rebecca Yarros,2023,9780349437026,Hachette,"Little, Brown",Hardback,Fantasy,"Fantasy, Romance",Fiction,The Empyrean ,2,£22.00,623,,1,0,1,
Ugly Love,Colleen Hoover,2014,9781471136726,Simon & Schuster,Simon & Schuster,Paperback,Romance,Romance,Fiction,na,na,£8.99,322,,0,0,1,
"Really Good, Actually",Monica Heisey,2023,9780008511722,Harper Collins,4th Estate,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£14.99,375,,0,0,1,
Babel,R. F. Kuang,2023,9780008501853,Harper Collins,HarperVoyager,Paperback,Fantasy,"Fantasy, Dark Academia",Fiction,na,na,£9.99,546,,1,0,1,
My Dark Romeo,Parker S. Huntington and L.J. Shen,2023,9781398721999,Hachette,Orion,Paperback,Romance,Romance,Fiction,na,na,£9.99,478,,0,0,1,
Stealing Home,Grace Reilly,2023,9781035412860,Hachette,Headline,Paperback,Romance,Romance,Fiction,Beyond the Play,2,£9.99,431,,0,0,1,
The Narrow Road Between Desires,Patrick Rothfuss,2023,9781399616218,Hachette,Orion,Hardback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,3,£18.99,226,,0,0,1,
Powerless,Lauren Roberts,2023,9781398529489,Simon & Schuster,Simon & Schuster,Paperback,Fantasy,"Fantasy, Romance",Fiction,Powerless,1,£9.99,502,,1,0,1,
Wildfire,Hannah Grace,2023,9781398525719,Simon & Schuster,Simon & Schuster,Paperback,Romance,Romance,Fiction,na,na,£9.99,386,,1,0,1,
The Fine Print,Lauren Asher,2022,9780349433448,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Dreamland Billionaires,1,£9.99,434,,1,0,1,
Final Offer,Lauren Asher,2023,9780349433479,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Dreamland Billionaires,3,£9.99,576,,0,0,1,
Breakaway,Grace Reilly,2023,9781035412846,Hachette,Headline,Paperback,Romance,Romance,Fiction,Beyond the Play,3,£9.99,432,,0,0,1,
Nightcrawling,Leila Mottley,2022,9781526634566,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£16.99,269,,1,0,1,
The Hero of Ages,Brandon Sanderson,2010,9780575089945,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,3,£10.99,748,,1,1,1,
Aristotle and Dante Discover the Secrets of the Universe,Bejamin Alire Saenz,2021,9781398505247,Simon & Schuster,Simon & Schuster,Paperback,Young Adult,,Fiction,Aristotle and Dante,1,£8.99,359,,1,0,1,
Oathbringer Part Two,Brandon Sanderson,2019,9780575093379,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Stormlight Archive,6,£10.99,756,,0,0,1,
King of Wrath,Ana Huang,2022,9780349436326,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Kings of Sin,1,£9.99,383,,0,0,1,
The Book Lover's Quiz Book,Gary Wigglesworth,2020,9781472145291,Hachette,"Little, Brown",Hardback,Gifts,,Non-Fiction,na,na,£16.99,277,,0,0,1,
Reckless,Elsie Silver,2023,9780349437729,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Chestnut Springs,4,£9.99,391,,0,0,1,
"Love, Redesigned",Lauren Asher,2023,9780349437989,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Lakefront Billionaires,1,£9.99,518,,0,0,1,
Butcher & Blackbird,Brynne Weaver,2023,9780349441566,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Ruinous Love,1,£9.99,335,,0,0,1,
Heartless,Elsie Silver,2023,9780349437682,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Chestnut Springs,2,£9.99,452,,1,0,1,
Behind the Net,Stephanie Archer,2024,9781398724259,Hachette,Orion,Paperback,Romance,,Fiction,Vancouver Storm,1,£9.99,404,,0,0,1,
Hopeless,Elsie Silver,2023,9780349437743,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Chestnut Springs,5,£9.99,386,,0,0,1,
Lovelight Farms,B.K. Borison,2023,9781035028856,Pan Macmillan,Pan Books,Paperback,Romance,,Fiction,na,na,£8.99,321,,1,0,1,
Oathbringer Part One,Brandon Sanderson,2019,9780575093362,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Stormlight Archive,5,£10.99,635,,0,1,1,
Magnolia Parks: Into the Dark,Jessa Hastings,2024,9781398717022,Hachette,Orion,Paperback,Romance,,Fiction,Magnolia Parks,5,£9.99,708,,1,0,1,
Wuthering Heights,Emily Bronte,2023,9789899135550,Livraria Lello,na,Hardback,Classic Fiction,,Fiction,na,na,£18.90,521,,0,0,1,
Bride,Ali Hazelwood,2024,9781408728864,Hachette,"Little, Brown",Paperback,Romance,Fantasy,Fiction,na,na,£9.99,396,,0,0,1,
It Starts With Us,Colleen Hoover,2023,9781398518209,Simon & Schuster,Simon & Schuster,Paperback,Romance,,Fiction,na,na,£9.99,320,,0,0,1,
If Only I Had Told Her,Laura Nowlin,2024,9781464225109,Sourcebooks Fire,Sourcebooks,Paperback,Romance,,Fiction,na,na,£8.99,399,,1,0,1,
How to End a Love Story,Yulin Kuang,2024,9781399735797,Hachette,Hodder and stoughton,Proof,Romance,,Fiction,na,na,na,368,,1,0,1,
The Cautious Traveller's Guide to the Wastelands,Sarah Brooks,2024,9781399623346,Hachette,Orion,Proof,Modern & Contemporary Fiction,Historical Fiction,Fiction,na,na,na,371,,0,0,1,
The Hating Game,Sally Thorne,2017,9780349414263,Hachette,"Little, Brown",Paperback,Romance,,Fiction,na,na,£8.99,363,,0,0,1,
A Fate Inked in Blood,Danielle L. Jensen,2024,na,Penguin Random House,Del Rey,Proof,Fantasy,Romance,Fiction,na,na,na,409,,1,0,1,
The Housemaid,Freida McFadden,2023,9781408728512,Hachette,Bookouture,Paperback,Crime & Mystery,,Fiction,The Housemaid,1,£9.99,330,,0,0,1,
The Devil and the Deep Blue Sea,Elizabeth O'Roark,2023,9780349440712,Hachette,"Little, Brown",Paperback,Romance,,Fiction,The Devil,2,£9.99,307,,0,0,1,
A Study in Drowning,Ava Reid,2023,9781529150506,Penguin Random House,Del Rey,Hardback,Fantasy,,Fiction,na,na,£16.99,376,,0,0,1,
Ruthless Vows,Rebecca Ross,2024,9780008588229,Harper Collins,Magpie Books,Hardback,Young Adult,Fantasy,Fiction,Letters of Enchantment ,2,£14.99,420,,1,0,1,
House of Flame and Shadow,Sarah J. Maas,2024,9781408884447,Bloomsbury,Bloomsbury ,Hardback,Fantasy,Romance,Fiction,Crescent City,3,£22.00,834,,1,0,1,
The Ballad of Songbirds & Snakes,Suzanne Collins,2023,9780702328909,Scholastic  ,Scholastic Ltd,Paperback,Young Adult,Dystopian,Fiction,Hunger Games,0.5,£8.99,517,,0,0,1,
Rhythm of War Part One,Brandon Sanderson,2020,9780575093416,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Stormlight Archive,7,£10.99,659,,0,0,1,
Rhythm of War Part Two,Brandon Sanderson,2020,9780575093423,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Stormlight Archive,8,£10.99,752,,0,0,1,
Steelheart,Brandon Sanderson,2014,9780575104044,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Reckoners,1,£8.99,386,,0,0,1,
Firefight,Brandon Sanderson,2015,9780575104495,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Reckoners,2,£9.99,419,,0,0,1,
Calamity,Brandon Sanderson,2016,9780575104976,Hachette,Gollancz,Paperback,Fantasy,,Fiction,The Reckoners,3,£9.99,421,,0,0,1,
Mitosis,Brandon Sanderson,2014,9781473209350,Hachette,Gollancz,Hardback,Fantasy,,Fiction,The Reckoners,1.5,£8.99,44,,0,0,1,
Binding 13,Chloe Walsh,2023,9780349439259,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Boys of Tommen,1,£10.99,801,,1,0,1,
Powerless,Elsie Silver,2023,9780349437705,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Chestnut Springs,3,£9.99,481,,0,0,1,
Not in Love,Ali Hazelwood,2024,9781408732687,Hachette,"Little, Brown",Proof,Romance,,Fiction,na,na,na,379,,0,0,1,
Magnolia Parks: The Long Way Home,Jessa Hastings,2023,9781398716964,Hachette,Orion,Paperback,Romance,,Fiction,Magnolia Parks,3,£8.99,595,,1,0,1,
Shatter Me,Tahereh Mafi,2021,9780008502942,Harper Collins,Farshore,Paperback,Young Adult,Fantasy,Fiction,Shatter Me,1,£8.99,326,,0,0,1,
Unravel Me,Tahereh Mafi,2021,9780008502942,Harper Collins,Farshore,Paperback,Young Adult,Fantasy,Fiction,Shatter Me,2,£8.99,460,,0,0,1,
Ignite Me,Tahereh Mafi,2021,9780008502942,Harper Collins,Farshore,Paperback,Young Adult,Fantasy,Fiction,Shatter Me,3,£8.99,407,,0,0,1,
Restore Me,Tahereh Mafi,2021,9780008502942,Harper Collins,Farshore,Paperback,Young Adult,Fantasy,Fiction,Shatter Me,4,£8.99,435,,0,0,1,
Defy Me,Tahereh Mafi,2021,9780008502942,Harper Collins,Farshore,Paperback,Young Adult,Fantasy,Fiction,Shatter Me,5,£8.99,362,,0,0,1,
Skyward,Brandon Sanderson,2018,9781473217874,Hachette,Gollancz,Paperback,Fantasy,Young Adult,Fiction,Skyward,1,£10.99,510,,1,0,1,
Starsight,Brandon Sanderson,2019,9781473217911,Hachette,Gollancz,Paperback,Fantasy,Young Adult,Fiction,Skyward,2,£9.99,461,,1,0,1,
Daisy Haites: The Great Undoing,Jessa Hastings,2023,9781398716995,Hachette,Orion,Paperback,Romance,,Fiction,Magnolia Parks,4,£8.99,484,,1,0,1,
The Body,Bill Bryson,2019,9780552779906,Penguin Random House,Transworld,Paperback,Popular Science,,Non-Fiction,na,na,£10.99,532,,0,0,1,
Twisted Games,Ana Huang,2021,9780349434315,Hachette,"Little, Brown",Paperback,Romance,,Fiction,Twisted,4,£9.99,454,,0,0,1,
Skyward Flight,Brandon Sanderson,2022,9781399602150,Hachette,Gollancz,Paperback,Fantasy,Young Adult,Fiction,Skyward,2.5,£10.99,622,,0,0,1,
Cytonic,Brandon Sanderson,2021,9781473217959,Hachette,Gollancz,Paperback,Fantasy,Young Adult,Fiction,Skyward,3,£9.99,415,,0,1,1,
Defiant,Brandon Sanderson,2023,9781473234611,Hachette,Gollancz,Trade Paperback,Fantasy,Young Adult,Fiction,Skyward,4,£16.99,420,,0,0,1,
You are Here: Hikes,Blackwell & Ruth,2022,9781797209821,Chronicle Books,Chronicle Books,Hardback,Travel & Holiday Guides,,Non-Fiction,na,na,£18.99,160,,0,0,1,
A Dowry of Blood,S.T. Gibson,2022,9780356519289,Hachette,"Little, Brown",Hardback,Fantasy,,Fiction,na,na,£14.99,292,,0,0,1,
The Ministry of Time,Kaliane Bradley,2024,na,Hachette,Hodder and stoughton,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,353,,1,0,1,
Yellowface,R. F. Kuang,2023,9780008532772,Harper Collins,The Borough Press,Hardback,Modern & Contemporary Fiction,,Fiction,na,na,£16.99,322,,1,0,1,
The Hurricane Wars,Thea Guanzon,2023,9780008555832,Harper Collins,HarperVoyager,Hardback,Fantasy,,Fiction,na,na,£18.99,470,,0,0,1,
Deep Thinking,Garry Kasparov,2018,9781473653511,Hachette,John Murray ,Paperback,Memoirs,,Non-Fiction,na,na,£10.99,294,,0,0,1,
First Lie Wins,Ashley Elston,2024,9781035411542,Hachette,Headline,Proof,Crime & Mystery,,Fiction,na,na,na,373,,0,0,1,
Once a King,Jane Marguerite Tippett,2023,9781399723947,Hachette,Hodder and stoughton,Trade Paperback,Memoirs,,Non-Fiction,na,na,£16.99,371,,0,0,1,
The Stars are Dying,Chloe C. Penaranda,2024,na,Hachette,Headline,Proof,Fantasy,Romance,Fiction,Nytefall,1,na,414,,1,0,1,
The Silence Factory,Bridget Collins,2024,9780008424046,Harper Collins,Borough Press,Hardback,Fantasy,,Fiction,na,na,£18.99,378,,0,0,1,
Fourth Wing (sprayed edge),Rebecca Yarros,2023,9780349436999,Hachette,"Little, Brown",Hardback,Fantasy,,Fiction,The Empyrean ,1,na,498,,1,1,1,
Immortal Dark,Tigest Girma,2024,na,Hachette,Hachette Childrens,Proof,Young Adult,Fantasy,Fiction,Immortal Dark,1,na,415,,0,0,1,
Shy Creatures,Clare Chambers,2024,na,Hachette,Orion,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,385,,0,0,1,
The Obesity Code,Jason Fung,2016,9781925228793,Scribe Publications,na,Paperback,Popular Science,,Non-Fiction,na,na,£16.99,269,,0,0,1,
The Eyes are the Best Part,Monika Kim,2024,na,Hachette,Octopus,Proof,Modern & Contemporary Fiction,Horror,Fiction,na,na,na,307,,0,0,1,
Powerful,Lauren Roberts,2024,9781398535732,Simon & Schuster,Simon & Schuster,Paperback,Young Adult,Fantasy,Fiction,Powerless,0.5,£8.99,245,,1,0,1,
Thoughts Beneath the Scars,Adriana M. Giovanni,2023,9798871425718,na,na,Paperback,Poetry,,Poetry,na,na,na,145,,1,0,1,
One on One,Jamie Harrow,2024,na,Hachette,Quercus,Proof,Romance,,Fiction,na,na,na,381,,0,0,1,
Collide,Bal Khabra,2024,9781526677525,Bloomsbury,,Paperback,Romance,,Fiction,na,na,£8.99,405,,1,0,1,
The Dragon Republic,R. F. Kuang,2020,9780008239893,Harper Collins,HarperVoyager,Paperback,Fantasy,,Fiction,The Poppy War,2,£9.99,656,,0,0,1,
Better than the Movies,Lynn Painter,2024,9781398536517,Simon & Schuster,Simon & Schuster,Paperback,Young Adult,Romance,Fiction,Better than the Movies,1,£8.99,347,,1,0,1,
Life Hacks for a Little Alien,Alice Franklin,2025,na,Hachette,Quercus,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,293,,0,0,0,
The Poppy War,R. F. Kuang,2018,9780008239848,Harper Collins,HarperVoyager,Paperback,Fantasy,,Fiction,The Poppy War,1,£9.99,527,,1,1,1,
You are Here ,David Nicholls,2024,na,Hachette,Hodder & Stoughton,Proof,Modern & Contemporary Fiction,Romance,Fiction,na,na,na,349,,1,0,1,
The Full Moon Coffee Shop,Mai Mochizuki,2024,na,Hachette,Octopus,Proof,Modern & Contemporary Fiction,Fantasy,Fiction,na,na,na,262,,1,0,1,
The Book Swap,Tessa Bickers,2024,na,Hachette,Hodder & Stoughton,Proof,Romance,,Fiction,na,na,na,325,,1,0,1,
The Bookshop Woman,Nanako Hanada,2024,na,Hachette,Octopus,Proof,Memoirs,,Non-Fiction,na,na,na,217,,1,0,1,
The Gentleman from Peru,Andre Aciman,2024,9780571390298,Faber & Faber,,,Modern & Contemporary Fiction,,Fiction,na,na,£12.99,169,,1,0,1,
A Discovery of Witches,Deborah Harkness,2011,9780755374045,Hachette,Headline,Paperback,Fantasy,,Fiction,All Souls,1,£9.99,688,,1,1,1,
The Book that Wouldn't Burn,Mark Lawrence,2024,9780008456757,Harper Collins,HarperVoyager,Paperback,Fantasy,,Fiction,The Library Trilogy,1,£9.99,566,,0,0,1,
The Book of Azrael,Amber V. Nicole,2024,9781035414505,Hachette,Headline,Paperback,Fantasy,,Fiction,Gods & Monsters,1,£10.99,598,,0,0,1,
The Girl with the Dragon Tattoo,Stieg Larsson,2008,9780857054036,Hachette,Quercus,Paperback,Crime & Mystery,,Fiction,Millenium,1,£9.99,544,,0,0,1,
Cross the Line,Simone Soltani,2024,9781035045105,Pan Macmillan,Pan Books,Paperback,Romance,,Fiction,na,na,£9.99,385,,1,0,1,
The Irresistible Urge to Fall For Your Enemy,Brigitte Knightley,2025,na,Hachette,Little Brown,Proof,Fantasy,Romance,Fiction,na,na,na,389,,1,0,1,
Phantasma,Kaylie Smith,2025,9781836182160,Hachette,Bookouture,Paperback,Fantasy,Romance,Fiction,Wicked Games,1,£9.99,493,,0,0,1,
A Darker Shade of Magic,V. E. Schwab,2015,9781783295401,Titan Books,Titan,Paperback,Fantasy,,Fiction,Shades of Magic,1,£9.99,384,,1,1,2,
The Favourites,Layne Fargo,2025,9781784745493,Penguin Random House,Vintage,Trade Paperback,Romance,Modern and Contemporary Fiction,Fiction,na,na,£13.99,434,,1,0,1,
Homeseeking,Karissa Chen,2025,na,Hachette,Hodder and Stoughton,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,488,,1,0,1,
Out on a Limb,Hannah Bonam-Young,2024,9781835010976,Bedford Square,,Paperback,Romance,,Fiction,na,na,£9.99,409,,0,0,1,
Riders,Jilly Cooper,1985,9780552172424,Penguin Random House,Transworld,Paperback,Romance,,Fiction,Rutshire Chronicles,1,£7.99,919,,1,0,1,
Mixed Signals,B.K. Borison,2023,9781035028818,Pan Macmillan,Pan Books,Paperback,Romance,,Fiction,Lovelight Series,2,£8.99,312,,0,0,1,
A Dance With the Fae Prince,Elise Kova,2023,9781398724693,Hachette,Orion,Hardback,Fantasy,Romance,Fiction,Married the Marriage,2,na,431,,0,0,1,
Skyestone,Adriana M. Giovanni,2024,9789464945270,Hamley Books,,Trade Paperback,Young Adult,Fantasy,Fiction,Skyestone,1,na,322,,1,0,1,
The Raven Scholar,Antonia Hodgson,2025,na,Hachette,Hodder and Stoughton,Proof,Fantasy,,Fiction,Eternal Path,1,na,643,,1,0,1,
The Skeleton Key,Erin Kelly,2022,9781473680883,Hachette,Hodder and Stoughton,Hardback,Crime & Mystery,,Fiction,na,na,£16.99,494,,0,0,1,
Speak to Me of Home,Jeanine Cummins,2025,na,Hachette,Headline,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,434,,0,0,1,
Ordinary Love,Marie Rutkoski,2025,na,Hachette,Little Brown,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,390,,1,0,1,
Crooked Kingdom,Leigh Bardugo,2017,9781510107038,Hachette,Hachette Childrens,Hardback,Young Adult,Young Adult Fantasy,Fiction,Six of Crows,2,£14.99,536,,1,1,1,
The Mammoth Book of Chess,Graham Burgess,1997,9781472146205,Hachette,Little Brown,Trade Paperback,Academic,,Non-Fiction,na,na,£16.99,564,,0,0,1,
Mastering Chess Strategy,Johan Hellsten,2010,9781857446487,Random House,Everyman,Trade Paperback,Academic,,Non-Fiction,na,na,£19.99,481,,0,0,1,
Quicksilver,Callie Hart,2024,na,Hachette,Hodder and Stoughton,Proof,Fantasy,Romance,Fiction,Fae & Alchemy,1,na,609,,1,0,1,
The World According to David Hockney,Thames&Hudson,2024,9780500027042,Thames & Hudson,,Hardback,History ,Art,Non-Fiction,na,na,£14.99,173,,0,0,1,
Jonathan Strange & Mr Norrell,Susanna Clarke,2004,9780747579885,Bloomsbury,,Paperback,Fantasy,Historical Fiction,Fiction,na,na,£7.99,1006,,0,0,1,
"Beg, Borrow, or Steal",Sarah Adams,2025,9781035409112,Hachette,Headline,Paperback,Romance,,Fiction,When in Rome,3,£9.99,361,,0,0,1,
War Storm,Victoria Aveyard,2018,9781409175995,Hachette,Orion,Paperback,Young Adult,"Young Adult, Fantasy",Fiction,Red Queen ,4,£9.99,657,,0,0,1,
Orbital,Samantha Harvey,2024,9781529922936,Penguin Random House,Vintage,Paperback,Modern & Contemporary Fiction,,Fiction,na,na,£9.99,136,,1,0,1,
Who Wants to Live Forever,Hanna Thomas Uose,2025,na,Hachette,Octopus,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,348,,1,0,1,
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,2023,9781529115543,Penguin Random House,Vintage,Paperback,Modern & Contemporary Fiction,,Fiction,na,na,£9.99,478,,1,0,1,
Everything I Never Told You,Celeste Ng,2014,9780349134284,Hachette,Little Brown,Paperback,Modern & Contemporary Fiction,,Fiction,na,na,£8.99,292,,0,0,1,
Arcana Academy,Elise Kova,2025,na,Hachette,Hodder and Stoughton,Proof,Fantasy,Romance,Fiction,Arcana Academy,1,na,546,,1,0,1,
The Listeners,Maggie Stiefvater,2025,na,Hachette,Headline,Proof,Modern & Contemporary Fiction,Historical Fiction,Fiction,na,na,na,414,,0,0,2,
Saving 6,Chloe Walsh,2023,9780349439280,Hachette,Little Brown,Paperback,Romance,,Fiction,Boys of Tommen,2,£10.99,623,,0,0,1,
Just For the Summer,Abby Jimenez,2024,9780349433844,Hachette,Little Brown,Paperback,Romance,,Fiction,Part of Your World,3,£9.99,405,,0,0,1,
King's Cage,Victoria Aveyard,2017,9781409150763,Hachette,Orion,Paperback,Young Adult,Fantasy,Fiction,Red Queen ,3,£9.99,507,,0,0,1,
Glass Sword,Victoria Aveyard,2016,9781409150749,Hachette,Orion,Paperback,Young Adult,Fantasy,Fiction,Red Queen ,2,£9.99,440,,0,0,1,
The List ,Yomi Adegoke,2023,9780008544539,Harper Collins,4th Estate,Paperback,Modern & Contemporary Fiction,,Fiction,na,na,£9.99,372,,0,0,1,
Wicked Serve,Grace Reilly,2024,9781035412884,Hachette,Headline,Paperback,Romance,,Fiction,Beyond the Play,4,£9.99,463,,0,0,1,
The Queue,Alexandra Heminsley,2023,9781398718401,Hachette,Orion,Paperback,Romance,,Fiction,na,na,£8.99,271,,0,0,1,
Bad Publicity,Bianca Gillam,2025,na,Bloomsbury,,Proof,Romance,,Fiction,na,na,na,367,,0,0,1,
Nesting,Roisin O'Donnell,2025,na,Simon & Schuster,Scribner,Proof,Modern & Contemporary Fiction,,Fiction,na,na,na,382,,0,0,1,
Alice,Christina Henry,2016,9781785653308,Titan Books,,Paperback,Fantasy,,Fiction,The Chronicles of Alice,1,£8.99,325,,0,0,1,
The Nightblood Prince,Molly X. Chang,2025,na,Hachette,Orion,Proof,Young Adult,Fantasy,Fiction,na,na,na,374,,0,0,1,
